title,price,property_type,location,publication_date,link
Terrain à ghazela 2 ariana,150 000,Autre,Cite El Ghazala,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3341948
S1 au rez de chaussée à,210 000,App. 2 pièc,Cite Des Juges,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390727
Villa de maitre à cartha,12 000,Maisons,Carthage,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390725
Un terrain à jabess sidi thab,250 000,Autre,Jabbes,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3360819
Appartement s plus 2 ain,280 000,App. 2 pièc,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390815
Senia cloturé 2 hectares,450 000,Terrain agr,Belaoum,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3381779
Spacieux villa style amé,1 050 000,Maisons,Sahloul,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3384127
Appartement s3 menzah 7,1 350,App. 5 pièc,El Menzah 7,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3390952
Appartement s2 derriére,105 000,App. 3 pièc,Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3314248
Appartement  à mourouj 5,130 000,App. 2 pièc,El Mourouj,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3333216
Villa avec étage a hammam sou,1 250 000,Maisons,Hammam Sousse,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3144164
Un dépot de 130m2 pour stocka,600,Surfaces,Cite De L'Aerop,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=2724689
Terrain  à boumhal,99 840,Terrain nu,Chala,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3255456
Bel appartement hsd,180 000,App. 3 pièc,El Mourouj,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3362219
Un terrain titré de 500m,300 000,Terrain nu,Dar Fadhal,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3084473
Cite riad mourouj3,650 000,Duplex,Cite El Bochra,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3297305
Terrain à  ain zaghouan,400 000,Terrain nu,Ain Zaghouan,22/03/2025,DetailsAnnonceImmobilier.asp?cod_ann=3336367
